id,text,humor_mechanism,humor_target
tweet71,-¡Policía! Dos chicas se están peleando por mí -¿Y cuál es el problema? -Es que va ganando la gorda!,misunderstanding,stereotype
tweet81,Pasa una mujer y jaimito le dice: oye te dolio? -Que cosa? -Cuando te caiste del cielo! -Ay q lindo -Noo es q te quedo la cara vuelta mierd@,insults,stereotype
tweet107,"—¡A UNA MUJER JAMÁS SE LE LEVANTA LA MANO!
—Pero maestra, dijo que si teníamos dudas levantáram...
—MALDITO CERDO OPRESOR ¡VIVA LA PANOCHA!",exaggeration,mysogeny
tweet183,"—Puta.
—¡¿QUEEÉ DIJISTE?!
—Puta sorda.",insults,mysogeny
tweet346,"Las mujeres quieren a alguien que las proteja y las haga reír, algo así como un payaso ninja...",analogy,mysogeny
tweet584,"Oye, deberías pedir trabajo ahí -¿Por qué lo dices, amor? -Porque ahí dice: ""INTERESADAS"" pedir informes.",wordplay,mysogeny
tweet615,"Un tipo tan de malas que compró el libro COMO DOMINAR A LAS MUJERES, y la mujer no se lo dejó leer. xD",irony,mysogeny
tweet630,"Entra una señora a la carnicería y dice:
Deme esa cabeza de cerdo de allí
Y contesta el carnicero:
Perdone señora, pero eso es un espejo",embarrassment,mysogeny
tweet665,"—Amor, ¿Estoy gorda? —No, tienes el cuerpo común. —¿Común? —Sí, común balón pinche gorda, ¡MÉTETE AL GIMNASIO!",unmasking,stereotype
tweet714,"—Amor, dime algo que me vuelva loca. —¡Mira! Esa mujer tiene el mismo vestido que tú.",misunderstanding,mysogeny
tweet735,"Hay 5 putas en la calle, Ya, Ye, Yi, Yu, ¿cual falta?",insults,mysogeny
tweet756,"-Mi mujer cuando se desnuda en la cama es como una llama -¿Es ardiente y fogosa? -¡No, es peluda y escupe! jajaja",wordplay,mysogeny
tweet828,"Mujeres stalkeando:

Encuentran algo: PUTA MADRE ¡lo sabía, es un pendejo!
No hallan nada: PUTA MADRE, borró todo. ¡Lo sabía, es un pendejo!",stereotype,stereotype
tweet1229,"“O adivinas porqué estoy enojada o me enojo más”

-Lógica femenina.",reference,mysogeny
tweet1326,"—Amor, ¿me veo bien?

—Te ves hermosa.

—No seas mentiroso y abre los ojos.

—¡No quiero! ¡Tengo miedo! :'(",unmasking,stereotype
tweet1354,"En CHIAPAS, eyaculamos en la boca de nuestras mujeres para que por lo menos traigan algo en la panza.  #GuerraDeEstados2018",stereotype,stereotype
tweet1435,"Quedate con la que te manda fotos en bolas cuando bace frío, con calor cualquiera se saca fotos en bolas.",reference,mysogeny
tweet1592,#Chiste Compadre sabes que a tu mujer le dicen las 3:55? -No... Por qué compadre? -Porque en 5 minutos ya está en 4! #chistes RT,analogy,mysogeny
tweet1681,Después de estacionarse la mujer pregunta al marido: -¿Quedé muy separada de la banqueta? -¿De cuál de las dos?,stereotype,stereotype
tweet1799,"#Chiste Ella no es PUTA, solo es de vagina caritativa. #chistes RT",irony,object
tweet1975,"Señoras y señoritas, casadas y solteritas, se las meten estiraditas y se las sacan arrugaditas. (Las medias de nylon) #fb",wordplay,mysogeny
tweet2170,"Antes a las mujeres se les  enamoraba sacándoles una sonrisa, hoy en día para que las enamores, tienes que sacarlas de pobres.

LAMENTABLE.",stereotype,stereotype
tweet2241,Las mujeres con pecas tienen miles de puntitos a su favor.,wordplay,mysogeny
tweet2314,"Papá, papá, ¿cuánto cuesta casarse?
No se hijo, yo todavía lo estoy pagando.
#Chistes #Humor #Anecdotas #Crueles ...",exaggeration,ideological
tweet2579,— Lo que una adolescente embarazada piensa: "Mi mamá me va a matar". — Lo que el feto piensa: "Mi mamá me va a matar",stereotype,ideological
tweet2599,"Cuál es el femenino de dormir la siesta?
Lavar  los platos    #CHISTES  #frases",insults,mysogeny
tweet2620,"Me voy a tatuar la palabra ""orgullo"" en la verga, solo para que te lo tragues sin hacerla tanto de pedo, mi amor.",insults,mysogeny
tweet2635,"- Amor, de ahora en adelante te llamaré ""Eva"" por ser mi primera mujer.
- Vale cariño, entonces yo te llamaré ""dálmata"" por ser el 101.",exaggeration,mysogeny
tweet2676,Bebé ¿Estás celosa?  (Escribiendo)... (Escribiendo)... (Escribiendo)... (Escribiendo)... (Escribiendo)... (Escribiendo)...  No :)))),reference,mysogeny
tweet2970,"Una mujer le pregunta a su marido:
Con cuantas mujeres has dormido?
-El le responde: ""contigo nada más! Porque con las otras no me da sueño""",embarrassment,ideological
tweet3007,"-Cariño, te veo mejor! -¿Pero cómo? ¡Si estoy más gorda! -Pues eso, que te veo mejor... #chistes",misunderstanding,stereotype
tweet3044,#chistepicante Pq los hombres pensamos mucho y las mujeres hablan mucho?-Porque los hombres tenemos dos cabezas y las mujeres cuatro labios,stereotype,stereotype
tweet3118,Me vuelves a decir Mujeriego y me cojo a todas tus amigas. Otra vez.,embarrassment,ideological
tweet3146,"Mujeres que miden mas de 1.70 y usan tacones, ¿a quién se quieren ligar? ¿A Godzilla?",exaggeration,stereotype
tweet3218,"- Quieres ser mi novia? - Sorry I don't speak Spanish. - Do you want to be my Girlfriend? - Lo siento, no hablo inglés.",unmasking,mysogeny
tweet3257,―Naces ―Creces ―Tienes novia ―Se baña ―Se cambia ―Se cambia ―Se cambia ―Te mueres ―Se cambia ―No va al funeral porque no supo que ponerse.,exaggeration,stereotype
tweet3304,"Cuando una dama dice no, quiere decir quizás; cuando dice quizás, quiere decir sí; y si dice sí, no es una dama. #fb",stereotype,stereotype
tweet3381,"“Gracias por esas frases motivacionales que pones en tus fotos donde sales de puta, me han cambiado la vida”. 

—Nadie, pendejas, NADIE.",irony,mysogeny
